일시,평균 상대습도(%)
2018-01-01,39.1
2018-01-02,42
2018-01-03,42.3
2018-01-04,43
2018-01-05,48.4
2018-01-06,45.8
2018-01-07,42.1
2018-01-08,51.9
2018-01-09,59.4
2018-01-10,52
2018-01-11,49.8
2018-01-12,35.4
2018-01-13,67.3
2018-01-14,64.1
2018-01-15,63.9
2018-01-16,59.1
2018-01-17,64.1
2018-01-18,59.6
2018-01-19,43
2018-01-20,57.6
2018-01-21,36.6
2018-01-22,56.5
2018-01-23,42
2018-01-24,31.6
2018-01-25,32.6
2018-01-26,34.9
2018-01-27,37.4
2018-01-28,36
2018-01-29,35
2018-01-30,62
2018-01-31,54.5
2018-02-01,44.1
2018-02-02,51.1
2018-02-03,47
2018-02-04,40.9
2018-02-05,37.8
2018-02-06,36.5
2018-02-07,39.8
2018-02-08,43.3
2018-02-09,43.9
2018-02-10,47.4
2018-02-11,42.5
2018-02-12,40.8
2018-02-13,54.5
2018-02-14,51
2018-02-15,28
2018-02-16,40.1
2018-02-17,25.6
2018-02-18,26.9
2018-02-19,48.6
2018-02-20,41
2018-02-21,31.5
2018-02-22,59
2018-02-23,81.1
2018-02-24,49.4
2018-02-25,40.6
2018-02-26,43.1
2018-02-27,48.8
2018-02-28,73.3
2018-03-01,61.9
2018-03-02,34
2018-03-03,38.1
2018-03-04,89.1
2018-03-05,67.5
2018-03-06,46.8
2018-03-07,54
2018-03-08,76
2018-03-09,63.3
2018-03-10,65.8
2018-03-11,51.3
2018-03-12,45.8
2018-03-13,60.5
2018-03-14,58.8
2018-03-15,92.1
2018-03-16,46.9
2018-03-17,48
2018-03-18,55.9
2018-03-19,64.5
2018-03-20,39.9
2018-03-21,64.1
2018-03-22,61.5
2018-03-23,55.3
2018-03-24,61.9
2018-03-25,65.6
2018-03-26,64.5
2018-03-27,61.1
2018-03-28,66.4
2018-03-29,66.3
2018-03-30,55.6
2018-03-31,52.9
2018-04-01,68.8
2018-04-02,64
2018-04-03,72.9
2018-04-04,67
2018-04-05,90.6
2018-04-06,71.6
2018-04-07,45.5
2018-04-08,59.6
2018-04-09,57.9
2018-04-10,51
2018-04-11,49.4
2018-04-12,30.5
2018-04-13,22.9
2018-04-14,78.8
2018-04-15,65.5
2018-04-16,41.9
2018-04-17,37.9
2018-04-18,35.4
2018-04-19,38.8
2018-04-20,46
2018-04-21,32
2018-04-22,57.4
2018-04-23,93.9
2018-04-24,63.3
2018-04-25,37.8
2018-04-26,51.9
2018-04-27,52.9
2018-04-28,49
2018-04-29,43.1
2018-04-30,61.6
2018-05-01,72.8
2018-05-02,90.4
2018-05-03,62.4
2018-05-04,45.5
2018-05-05,46.8
2018-05-06,86.4
2018-05-07,60.3
2018-05-08,50.9
2018-05-09,50.4
2018-05-10,67.4
2018-05-11,59.8
2018-05-12,89.3
2018-05-13,82.5
2018-05-14,71.4
2018-05-15,56.4
2018-05-16,93.8
2018-05-17,97
2018-05-18,86.8
2018-05-19,47.5
2018-05-20,32.1
2018-05-21,43.9
2018-05-22,75.5
2018-05-23,57.1
2018-05-24,47.4
2018-05-25,47.4
2018-05-26,50.1
2018-05-27,47.4
2018-05-28,49.8
2018-05-29,69.3
2018-05-30,69.8
2018-05-31,58.9
2018-06-01,50.4
2018-06-02,44.5
2018-06-03,39.4
2018-06-04,50.1
2018-06-05,52.5
2018-06-06,62.9
2018-06-07,69.3
2018-06-08,68
2018-06-09,60.6
2018-06-10,59.9
2018-06-11,67.3
2018-06-12,65.5
2018-06-13,64
2018-06-14,74.9
2018-06-15,60.8
2018-06-16,56.4
2018-06-17,66.9
2018-06-18,54.9
2018-06-19,61.3
2018-06-20,68.1
2018-06-21,60.1
2018-06-22,45.1
2018-06-23,50.6
2018-06-24,62.8
2018-06-25,57.1
2018-06-26,88.3
2018-06-27,81.9
2018-06-28,85.1
2018-06-29,78.5
2018-06-30,83.8
2018-07-01,94.6
2018-07-02,95.4
2018-07-03,74.4
2018-07-04,69.6
2018-07-05,72.8
2018-07-06,57.8
2018-07-07,51.4
2018-07-08,51.5
2018-07-09,82.3
2018-07-10,87.8
2018-07-11,82.9
2018-07-12,82.4
2018-07-13,74.8
2018-07-14,69.6
2018-07-15,69.6
2018-07-16,64.3
2018-07-17,66.5
2018-07-18,64.8
2018-07-19,64.1
2018-07-20,62.6
2018-07-21,53.6
2018-07-22,49.6
2018-07-23,53.8
2018-07-24,59.5
2018-07-25,66.3
2018-07-26,68.8
2018-07-27,69.3
2018-07-28,77.1
2018-07-29,52.4
