date,elec_kwh
2018-01-01,18659.1
2018-01-02,26697.45
2018-01-03,27382.62
2018-01-04,27654.66
2018-01-05,26054.73
2018-01-06,20796.33
2018-01-07,19725.87
2018-01-08,25903.29
2018-01-09,25926.39
2018-01-10,25388.88
2018-01-11,30097.11
2018-01-12,30038.31
2018-01-13,22592.1
2018-01-14,19859.58
2018-01-15,25064.55
2018-01-16,24463.95
2018-01-17,23726.94
2018-01-18,23881.5
2018-01-19,23846.76
2018-01-20,19092.72
2018-01-21,18636.48
2018-01-22,25277.43
2018-01-23,30095.16
2018-01-24,31968.81
2018-01-25,31922.34
2018-01-26,32346.75
2018-01-27,26329.89
2018-01-28,23504.49
2018-01-29,30177.9
2018-01-30,29325.57
2018-01-31,27602.58
2018-02-01,27967.26
2018-02-02,27120.18
2018-02-03,23610.27
2018-02-04,23907.63
2018-02-05,30870.45
2018-02-06,31137.99
2018-02-07,30274.47
2018-02-08,28222.92
2018-02-09,25762.5
2018-02-10,20461.14
2018-02-11,21639.48
2018-02-12,28829.01
2018-02-13,26876.07
2018-02-14,23140.65
2018-02-15,18071.58
2018-02-16,17574.87
2018-02-17,18576.18
2018-02-18,18969.57
2018-02-19,25135.41
2018-02-20,24888.18
2018-02-21,25174.95
2018-02-22,24763.68
2018-02-23,22772.79
2018-02-24,18702.63
2018-02-25,17898.06
2018-02-26,23637.93
2018-02-27,23217.03
2018-02-28,22626.12
2018-03-01,19198.62
2018-03-02,24635.67
2018-03-03,17698.38
2018-03-04,16567.35
2018-03-05,22433.79
2018-03-06,22393.86
2018-03-07,22064.7
2018-03-08,22075.56
2018-03-09,21661.23
2018-03-10,17422.05
2018-03-11,16245.27
2018-03-12,21227.85
2018-03-13,19918.71
2018-03-14,18472.05
2018-03-15,19010.79
2018-03-16,18947.16
2018-03-17,15819.27
2018-03-18,15285.72
2018-03-19,20779.53
2018-03-20,21371.13
2018-03-21,23164.47
2018-03-22,21184.26
2018-03-23,20248.08
2018-03-24,16163.01
2018-03-25,15110.13
2018-03-26,19189.41
2018-03-27,18558.51
2018-03-28,17995.56
2018-03-29,17761.41
2018-03-30,16700.88
2018-03-31,14246.19
2018-04-01,13797.27
2018-04-02,17246.43
2018-04-03,17441.94
2018-04-04,17208.72
2018-04-05,17885.88
2018-04-06,17788.38
2018-04-07,15129.03
2018-04-08,14921.58
2018-04-09,18972.81
2018-04-10,18121.2
2018-04-11,17662.08
2018-04-12,17284.95
2018-04-13,16952.37
2018-04-14,14899.47
2018-04-15,14120.7
2018-04-16,17489.94
2018-04-17,17319.09
2018-04-18,17309.82
2018-04-19,17017.59
2018-04-20,16477.62
2018-04-21,14077.29
2018-04-22,13837.29
2018-04-23,17853.45
2018-04-24,17131.2
2018-04-25,16984.11
2018-04-26,16710.3
2018-04-27,16352.88
2018-04-28,13967.73
2018-04-29,13449
2018-04-30,16747.77
2018-05-01,17031.12
2018-05-02,17572.68
2018-05-03,16781.4
2018-05-04,16181.07
2018-05-05,13651.11
2018-05-06,13777.95
2018-05-07,14247.84
2018-05-08,16924.59
2018-05-09,16921.41
2018-05-10,17161.5
2018-05-11,16888.68
2018-05-12,14698.35
2018-05-13,14039.88
2018-05-14,17213.25
2018-05-15,17838.36
2018-05-16,19338.96
2018-05-17,19196.94
2018-05-18,18108.63
2018-05-19,14750.4
2018-05-20,14002.77
2018-05-21,16767.06
2018-05-22,14874.87
2018-05-23,17346.48
2018-05-24,17312.76
2018-05-25,17278.11
2018-05-26,15216.42
2018-05-27,14530.35
2018-05-28,18380.58
2018-05-29,18822.18
2018-05-30,18777.51
2018-05-31,18671.37
2018-06-01,19233.3
2018-06-02,16131.33
2018-06-03,15247.23
2018-06-04,19368.54
2018-06-05,20111.55
2018-06-06,16566.81
2018-06-07,20167.71
2018-06-08,19663.53
2018-06-09,16808.67
2018-06-10,15021.27
2018-06-11,18838.23
2018-06-12,19262.1
2018-06-13,16365.96
2018-06-14,19366.68
2018-06-15,18790.71
2018-06-16,15846.66
2018-06-17,15563.28
2018-06-18,19976.13
2018-06-19,19761.78
2018-06-20,19759.2
2018-06-21,19751.22
2018-06-22,19760.91
2018-06-23,16329.66
2018-06-24,15865.23
2018-06-25,21267.87
2018-06-26,20408.73
2018-06-27,20049.6
2018-06-28,20592.57
2018-06-29,20148.42
2018-06-30,16890.39
2018-07-01,15609.12
2018-07-02,20616.36
2018-07-03,22198.86
2018-07-04,22585.83
2018-07-05,21906.87
2018-07-06,20235.3
2018-07-07,16339.71
2018-07-08,15705.51
2018-07-09,19833.36
2018-07-10,17656.44
2018-07-11,22202.73
2018-07-12,21969.06
2018-07-13,22466.16
2018-07-14,18471.66
2018-07-15,17702.4
2018-07-16,23358.09
2018-07-17,23240.58
2018-07-18,23165.4
2018-07-19,23533.32
2018-07-20,23050.08
2018-07-21,19326.69
2018-07-22,17924.19
2018-07-23,24843.75
2018-07-24,22261.32
2018-07-25,24851.64
2018-07-26,24830.7
2018-07-27,24942.99
2018-07-28,20142.6
2018-07-29,18558.66
2018-07-30,23478.99
2018-07-31,24916.56
2018-08-01,25668.9
2018-08-02,26004.72
2018-08-03,25575.54
2018-08-04,19831.2
2018-08-05,18641.64
2018-08-06,24967.44
2018-08-07,25052.91
2018-08-08,25386.12
2018-08-09,24944.82
2018-08-10,24535.62
2018-08-11,19914.24
2018-08-12,18627.78
2018-08-13,25001.01
2018-08-14,24870.57
2018-08-15,20380.98
2018-08-16,23489.49
2018-08-17,22175.34
2018-08-18,18183.45
2018-08-19,17268.9
2018-08-20,22312.95
2018-08-21,22913.61
2018-08-22,23966.37
2018-08-23,22933.65
2018-08-24,21838.74
2018-08-25,18244.56
2018-08-26,16444.14
2018-08-27,20882.58
2018-08-28,21418.71
2018-08-29,22020.39
2018-08-30,21986.55
2018-08-31,21382.65
2018-09-01,17417.94
2018-09-02,16358.28
2018-09-03,22399.71
2018-09-04,20913.6
2018-09-05,21768.48
2018-09-06,22272.75
2018-09-07,19692.81
2018-09-08,15505.38
2018-09-09,15036.27
2018-09-10,19423.98
2018-09-11,19353.9
2018-09-12,19385.01
2018-09-13,20165.67
2018-09-14,19756.83
2018-09-15,16509.63
2018-09-16,15103.32
2018-09-17,19112.43
2018-09-18,19019.61
2018-09-19,18292.95
2018-09-20,18694.35
2018-09-21,17935.86
2018-09-22,14487.84
2018-09-23,13589.76
2018-09-24,12960.06
2018-09-25,13191.3
2018-09-26,13752.96
2018-09-27,16890.21
2018-09-28,16507.65
2018-09-29,14649
2018-09-30,13964.19
2018-10-01,16488.66
2018-10-02,16707.72
2018-10-03,14460.6
2018-10-04,17095.11
2018-10-05,14789.67
