날짜,0시,1시,2시,3시,4시,5시,6시,7시,8시,9시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시
20180101,16961.76,17171.28,17343.36,17449.92,17372.16,17408.16,18046.08,18022.32,18917.28,19203.12,18729.36,18397.44,18272.88,18674.64,19337.04,19921.68,20407.68,20494.8,20085.12,19921.68,19673.28,19185.12,18643.68,18178.56
20180102,18011.52,17734.32,22198.32,21583.44,21772.08,22024.8,20060.64,21898.8,26956.08,32611.68,34446.24,34238.88,32275.44,34149.6,33985.44,33904.08,33559.2,32733.36,28514.88,27014.4,25487.28,23738.4,21605.04,20234.88
20180103,19671.84,19229.76,19088.64,19094.4,19160.64,19856.88,21880.8,23978.88,28960.56,34953.84,36561.6,35975.52,33996.96,35463.6,35096.4,34834.32,34379.28,33433.92,29745.36,28132.56,26275.68,24397.92,22277.52,20736
20180104,19974.96,19812.96,24391.44,24113.52,23551.2,23714.64,21624.48,23247.36,28259.28,33868.8,35616.24,35190,33014.16,34575.84,34694.64,34644.24,33800.4,32604.48,28661.04,27004.32,25454.16,23884.56,21713.04,20296.08
20180105,19694.16,19509.84,19367.28,19333.44,19177.2,19832.4,21902.4,23775.84,28035.36,33237.36,34328.16,33580.8,31800.96,32876.64,32544.72,32599.44,32280.48,31263.84,27310.32,25629.12,24399.36,22674.24,20739.6,19420.56
20180106,18952.56,18825.84,18676.08,18668.16,18555.12,18616.32,19159.2,19404,20768.4,22402.08,23119.92,22761.36,22274.64,22789.44,22962.24,22973.04,23058.72,22849.2,21746.88,21255.84,20780.64,20417.04,19351.44,18743.76
20180107,18491.76,18325.44,18197.28,18172.8,18225.36,18303.84,18882,18862.56,19352.16,19859.04,19506.24,19554.48,19778.4,20642.4,21304.08,21727.44,22118.4,21864.96,21036.96,20882.88,20732.4,20136.24,19068.48,18395.28
20180108,19563.12,19309.68,19191.6,19131.12,19160.64,19550.88,20721.6,21906.72,26851.68,32642.64,33044.4,32544,32856.48,34608.24,34396.56,34336.8,33564.96,30478.32,26305.2,24534.72,24976.8,23197.68,19164.96,19640.16
20180109,20586.24,20265.84,20307.6,20337.84,20563.2,21557.52,23385.6,24850.08,28370.16,33587.28,33834.24,33308.64,33580.8,29596.32,29140.56,31933.44,22714.56,28651.68,27649.44,26176.32,26429.76,24634.08,20090.16,20682
20180110,21805.2,20239.2,11156.4,17078.4,19017.36,13353.12,13878,14576.4,14312.16,23079.6,26097.84,34613.28,34768.8,36447.84,36546.48,36249.84,36026.64,33326.64,29658.96,27923.76,28360.08,30041.28,25549.2,25226.64
20180111,22263.84,21697.92,26745.84,26796.96,26486.64,26665.92,24426.72,26255.52,29766.96,35315.28,35600.4,35749.44,35972.64,37798.56,37582.56,37144.8,37006.56,33732,29499.12,27936.72,28227.6,29926.8,23513.04,26218.8
20180112,26760.96,22697.28,27281.52,27244.08,27243.36,27214.56,25021.44,27431.28,31208.4,37135.44,37275.12,37136.16,37396.8,38633.76,37933.2,37254.96,36391.68,33147.36,28546.56,26470.8,26252.64,24284.88,20200.32,20756.88
20180113,20027.52,20000.88,24850.08,24370.56,23599.44,23176.08,19650.96,19534.32,20530.8,22524.48,23639.76,24347.52,24465.6,24796.8,24750,24906.24,24696,24039.36,22903.2,22548.24,22034.88,21176.64,20150.64,19490.4
20180114,18976.32,18771.84,18655.2,18766.08,18732.96,18923.04,19422,19224.72,19799.28,20365.92,19980.72,20183.04,19741.68,20502.72,21142.8,21519.36,21876.48,21741.12,21019.68,20669.76,20470.32,19755.36,18545.04,17844.48
20180115,19072.8,18738.72,18426.24,18509.04,18451.44,19266.48,21169.44,22697.28,26639.28,31834.08,32107.68,31209.12,31141.44,32445.36,32688,32727.6,31690.8,28835.28,25158.96,23966.64,24502.32,22973.76,18410.4,18887.04
20180116,19735.2,19514.88,19283.76,19079.28,19101.6,19894.32,21610.8,22729.68,26066.16,28216.08,30394.08,29944.08,29916,31078.08,31677.84,31837.68,31394.16,27828.72,24420.96,22983.84,23271.84,21472.56,17447.76,18235.44
20180117,19244.16,18840.24,18523.44,18424.8,18336.96,19265.04,20971.44,22579.2,25453.44,29669.04,28970.64,28590.48,29341.44,30435.84,29885.76,29624.4,29174.4,26516.16,23688,22314.96,22925.52,21155.76,17315.28,18200.16
20180118,19035.36,18713.52,18499.68,18331.2,18439.2,19237.68,20808.72,22223.52,25224.48,29543.76,29256.48,29142.72,29435.04,30579.12,30148.56,30152.16,29753.28,27062.64,24118.56,22695.84,23010.48,21472.56,17706.24,18565.2
